Date,Symbol,Open,High,Low,Close,Close_Adj
2001-04-27,hk06896,4.71,5.1,4.63,4.87,4.87
2001-04-28,hk06896,4.71,5.1,4.63,4.87,4.87
2001-04-29,hk06896,4.71,5.1,4.63,4.87,4.87
2001-04-30,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-01,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-02,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-03,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-04,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-05,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-06,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-07,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-08,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-09,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-10,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-11,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-12,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-13,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-14,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-15,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-16,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-17,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-18,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-19,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-20,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-21,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-22,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-23,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-24,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-25,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-26,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-27,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-28,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-29,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-30,hk06896,4.71,5.1,4.63,4.87,4.87
2001-05-31,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-01,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-02,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-03,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-04,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-05,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-06,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-07,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-08,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-09,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-10,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-11,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-12,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-13,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-14,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-15,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-16,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-17,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-18,hk06896,4.71,5.1,4.63,4.87,4.87
2001-06-19,hk06896,4.71,5.1,4.63,4.87,4.87
